time [d], date, hour, day_angle, rain [mm/d], snow [mm/d], temp [C], temp_daily_min [C], temp_daily_max [C],temp_daily_ave [C],temp_monthly_min [C],temp_monthly_max [C], air_density [kg/m3], air_pressure [KPa], rel_humidity [-], cloud_cover [-], ET_radiation [MJ/m2/d], SW_radiation [MJ/m2/d], net_SW_radiation [MJ/m2/d], LW_incoming [MJ/m2/d], net_LW_radiation [MJ/m2/d], wind_speed [m/s], PET [mm/d], OW_PET [mm/d], daily_correction [-], potential_melt [mm/d]
1,2013-01-02,00:00:00.00,0.0086071,0,0,-8.53394,-10.0339,-7.03394,-8.53394,-33333.3,-33333.3,1.25199,95.2116,0.5,0,13.4913,9.70042,7.58127,16.0408,-7.74745,2,0.00785088,0.00785088,1,-24.2049
2,2013-01-03,00:00:00.00,0.0258213,1.11022e-16,0.20095,-7.53394,-10.5339,-4.53394,-7.53394,-33333.3,-33333.3,1.24744,95.2339,0.5,0,13.5469,9.72835,7.60312,16.4251,-7.72468,2,0.0500599,0.0500599,1,-21.4419
3,2013-01-04,00:00:00.00,0.0430355,-1.11022e-16,0.602849,-6.78394,-10.0339,-3.53394,-6.78394,-33333.3,-33333.3,1.24404,95.2506,0.5,0,13.607,9.76374,3.29581,16.7184,-7.70532,2,0.0817167,0.0817167,1,-19.3794
4,2013-01-05,00:00:00.00,0.0602497,0,0,-4.03394,-6.03394,-2.03394,-4.03394,-33333.3,-33333.3,1.23166,95.3109,0.5,0,13.6716,9.76024,3.2949,17.8311,-7.61696,2,0.168836,0.168836,1,-11.5699
5,2013-01-06,00:00:00.00,0.0774639,4.44089e-16,2.61235,-2.28394,-5.03394,0.466056,-2.28394,-33333.3,-33333.3,1.22385,95.3486,0.5,0,13.7407,9.77632,3.30056,18.5705,-7.54597,2,0.168836,0.168836,1,-6.57884
6,2013-01-07,00:00:00.00,0.0946781,0,2.0095,-1.53394,-3.03394,-0.0339442,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,13.8142,9.81789,3.31476,18.895,-7.51189,2,0.168836,0.168836,1,-4.43874
7,2013-01-08,00:00:00.00,0.111892,0,0,-8.03394,-14.5339,-1.53394,-8.03394,-33333.3,-33333.3,1.24971,95.2228,0.5,0,13.8922,10.0218,3.38332,16.232,-7.7365,2,0.0289554,0.0289554,1,-23.3608
8,2013-01-09,00:00:00.00,0.129107,0,0,-2.53394,-5.03394,-0.0339442,-2.53394,-33333.3,-33333.3,1.22496,95.3432,0.5,0,13.9745,9.9738,3.3676,18.4633,-7.55683,2,0.168836,0.168836,1,-7.4059
9,2013-01-10,00:00:00.00,0.146321,0,0,-1.28394,-6.03394,3.46606,-1.28394,-33333.3,-33333.3,1.21941,95.37,0.5,0,14.0613,10.0136,3.38126,19.0042,-7.50003,2,0.168836,0.168836,1,-3.7728
10,2013-01-11,00:00:00.00,0.163535,4.78812,0.23562,0.966056,-2.03394,3.96606,0.966056,-33333.3,-33333.3,1.20949,95.4175,0.5,0,14.1525,10.0263,3.38589,19.9911,-7.40146,2,0.168836,0.168836,1,2.85479
11,2013-01-12,00:00:00.00,0.180749,5.02374,0,2.46606,-1.03394,5.96606,2.46606,-33333.3,-33333.3,1.20295,95.4487,0.5,0,14.2481,10.0588,3.39714,20.6539,-7.34319,2,0.168836,0.168836,1,7.33046
12,2013-01-13,00:00:00.00,0.197963,17.8845,0,6.21606,2.46606,9.96606,6.21606,-33333.3,-33333.3,1.18672,95.5254,0.5,0,14.348,10.0103,7.91969,22.3874,-7.16469,2,0.168836,0.168836,1,18.5912
13,2013-01-14,00:00:00.00,0.215178,4.82279,0,6.71606,4.96606,8.46606,6.71606,-33333.3,-33333.3,1.18457,95.5355,0.5,0,14.4522,10.0753,8.08255,22.627,-7.13722,2,0.168836,0.168836,1,20.2151
14,2013-01-15,00:00:00.00,0.232392,1.11022e-16,0.20095,-4.53394,-5.03394,-4.03394,-4.53394,-33333.3,-33333.3,1.2339,95.3,0.5,0,14.5607,10.502,8.45556,17.6243,-7.6351,2,0.168836,0.168836,1,-13.7374
15,2013-01-16,00:00:00.00,0.249606,0,0,-4.53394,-7.03394,-2.03394,-4.53394,-33333.3,-33333.3,1.2339,95.3,0.5,0,14.6735,10.5949,3.57838,17.6243,-7.6351,2,0.168836,0.168836,1,-13.8316
16,2013-01-17,00:00:00.00,0.26682,0,0,-3.78394,-7.53394,-0.0339442,-3.78394,-33333.3,-33333.3,1.23054,95.3163,0.5,0,14.7906,10.6741,3.60534,17.9352,-7.60754,2,0.168836,0.168836,1,-11.6253
17,2013-01-18,00:00:00.00,0.284034,0,7.03324,-8.28394,-9.53394,-7.03394,-8.28394,-33333.3,-33333.3,1.25085,95.2172,0.5,0,14.9118,10.8692,3.67122,16.1361,-7.74208,2,0.0184031,0.0184031,1,-25.6359
18,2013-01-19,00:00:00.00,0.301249,0,0,-6.03394,-13.5339,1.46606,-6.03394,-33333.3,-33333.3,1.24065,95.2671,0.5,0,15.0373,10.928,3.69141,17.016,-7.68395,2,0.113373,0.113373,1,-18.8129
19,2013-01-20,00:00:00.00,0.318463,4.44089e-16,3.61709,-1.53394,-7.53394,4.46606,-1.53394,-33333.3,-33333.3,1.22052,95.3646,0.5,0,15.1668,10.927,3.69154,18.895,-7.51189,2,0.168836,0.168836,1,-4.81936
