time,date,hour,precip [mm/day],02GA041 [m3/s],02GA-19 [m3/s],02GA-17 [m3/s],16018409002 [m3/s],02GA-13 [m3/s],02GA022 [m3/s],16018406702&02GA014 [m3/s],02GA027 [m3/s],02GA001 [m3/s],02GA016 [m3/s],02GA016 (observed) [m3/s],02GA016 (res. inflow) [m3/s]
0,2013-01-01,00:00.0,---,0.752542,2.03994,2.29979,3.98025,4.78269,7.23957,7.38157,8.24541,8.3909,0,,8.65098
1,2013-01-02,00:00.0,0,0.376271,1.01997,1.14989,1.99468,2.39591,3.62434,3.69535,4.12727,4.20001,0.597344,4.4,4.33005
2,2013-01-03,00:00.0,0.20095,0,0,0,0.00884447,0.00884447,0.00884447,0.00884447,0.00884447,0.00884447,0.991436,4.41,0.00884447
3,2013-01-04,00:00.0,0.602849,0,0,0,0.00822844,0.00822844,0.00822844,0.00822844,0.00822844,0.00822844,0.689618,4.42,0.00822844
4,2013-01-05,00:00.0,0,0,0,0,0.00735769,0.00735769,0.00735769,0.00735769,0.00735769,0.00735769,0.516386,4.42,0.00735769
5,2013-01-06,00:00.0,2.61235,0,0,0,0.00631476,0.00631476,0.00631476,0.00631476,0.00631476,0.00631476,0.385661,4.4,0.00631476
6,2013-01-07,00:00.0,2.0095,0,0,0,0.00530833,0.00530833,0.00530833,0.00530833,0.00530833,0.00530833,0.28749,4.41,0.00530833
7,2013-01-08,00:00.0,0,0,0,0,0.00466249,0.00466249,0.00466249,0.00466249,0.00466249,0.00466249,0.214925,4.44,0.00466249
8,2013-01-09,00:00.0,0,0,0,0,0.00403925,0.00403925,0.00403925,0.00403925,0.00403925,0.00403925,0.160413,4.46,0.00403925
9,2013-01-10,00:00.0,0,0,0,0,0.00311244,0.00311244,0.00311244,0.00311244,0.00311244,0.00311244,0.118215,4.5,0.00311244
10,2013-01-11,00:00.0,5.02374,0,0,0,0.00221808,0.00221808,0.00221808,0.00221808,0.00221808,0.00221808,0.0863793,4.51,0.00221808
11,2013-01-12,00:00.0,5.02374,0,0,0,0.001355,0.001355,0.001355,0.001355,0.001355,0.001355,0.0623135,4.5,0.001355
12,2013-01-13,00:00.0,17.8845,0,0,0,0.000522138,0.000522138,0.000522138,0.000522138,0.000522138,0.000522138,0.044075,4.49,0.000522138
13,2013-01-14,00:00.0,4.82279,0,0,0,5.66E-05,5.66E-05,5.66E-05,5.66E-05,5.66E-05,5.66E-05,0.0302513,19.2,5.66E-05
14,2013-01-15,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0.0198316,50,0
15,2013-01-16,00:00.0,0,0,0,0,0,0,0,0,0,0,0.01202,69.9,0
16,2013-01-17,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00616901,64.8,0
17,2013-01-18,00:00.0,7.03324,0,0,0,0,0,0,0,0,0,0.00304915,35.4,0
18,2013-01-19,00:00.0,0,0,0,0,0,0,0,0,0,0,0.00121748,8.45,0
19,2013-01-20,00:00.0,3.61709,0,0,0,0,0,0,0,0,0,0,5.74,0
20,2013-01-21,00:00.0,1.40665,0,0,0,0,0,0,0,0,0,0,5.68,0
21,2013-01-22,00:00.0,0.401899,0,0,0,0,0,0,0,0,0,0,5.66,0
22,2013-01-23,00:00.0,0.803799,0,0,0,0,0,0,0,0,0,0,5.66,0
23,2013-01-24,00:00.0,0.20095,0,0,0,0,0,0,0,0,0,0,5.64,0
24,2013-01-25,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.73,0
25,2013-01-26,00:00.0,1.00475,0,0,0,0,0,0,0,0,0,0,5.76,0
26,2013-01-27,00:00.0,0,0,0,0,0,0,0,0,0,0,0,5.75,0
27,2013-01-28,00:00.0,7.03324,0,0,0,0,0,0,0,0,0,0,5.72,0
