time,date,hour,precip [mm/day],02GA016 
0,2013-01-01,00:00:00.00,0,0
1,2013-01-02,00:00:00.00,0,0.0580866
2,2013-01-03,00:00:00.00,0.20095,0.0427417
3,2013-01-04,00:00:00.00,0.602849,0.0320517
4,2013-01-05,00:00:00.00,0,0.0239536
5,2013-01-06,00:00:00.00,2.61235,0.0178738
6,2013-01-07,00:00:00.00,2.0095,0.0133063
7,2013-01-08,00:00:00.00,0,0.0100037
8,2013-01-09,00:00:00.00,0,0.00739416
9,2013-01-10,00:00:00.00,0,0.005427
10,2013-01-11,00:00:00.00,5.02374,0.00394139
11,2013-01-12,00:00:00.00,5.02374,0.0028169
12,2013-01-13,00:00:00.00,17.8845,0.00196332
13,2013-01-14,00:00:00.00,4.82279,0.00131763
14,2013-01-15,00:00:00.00,0.20095,0.000833232
15,2013-01-16,00:00:00.00,0,0.000470412
16,2013-01-17,00:00:00.00,0,0.000198656
17,2013-01-18,00:00:00.00,7.03324,0.000132044
18,2013-01-19,00:00:00.00,0,-4.83967e-06
19,2013-01-20,00:00:00.00,3.61709,-0.000178217
20,2013-01-21,00:00:00.00,1.40665,-0.000215003
21,2013-01-22,00:00:00.00,0.401899,-0.000215003
22,2013-01-23,00:00:00.00,0.803799,-0.000215003
23,2013-01-24,00:00:00.00,0.20095,-0.000215003
24,2013-01-25,00:00:00.00,0,-0.000215003
25,2013-01-26,00:00:00.00,1.00475,-0.000215003
26,2013-01-27,00:00:00.00,0,-0.000215003
27,2013-01-28,00:00:00.00,7.03324,-0.000215003
28,2013-01-29,00:00:00.00,3.21519,-0.000389278
29,2013-01-30,00:00:00.00,17.6836,0.0760847
30,2013-01-31,00:00:00.00,7.03324,0.187688
31,2013-02-01,00:00:00.00,12.2579,0.229634
32,2013-02-02,00:00:00.00,2.61235,0.233453
33,2013-02-03,00:00:00.00,1.00475,0.224186
34,2013-02-04,00:00:00.00,1.2057,0.211172
35,2013-02-05,00:00:00.00,0.401899,0.197687
36,2013-02-06,00:00:00.00,1.2057,0.184443
37,2013-02-07,00:00:00.00,0,0.171712
38,2013-02-08,00:00:00.00,17.0807,0.159952
39,2013-02-09,00:00:00.00,12.8608,0.149245
40,2013-02-10,00:00:00.00,0,0.139136
41,2013-02-11,00:00:00.00,4.82279,0.129417
42,2013-02-12,00:00:00.00,3.01425,0.11883
43,2013-02-13,00:00:00.00,0,0.107245
44,2013-02-14,00:00:00.00,0,0.0957364
45,2013-02-15,00:00:00.00,0,0.0843622
46,2013-02-16,00:00:00.00,1.00475,0.0732625
47,2013-02-17,00:00:00.00,1.40665,0.0642534
48,2013-02-18,00:00:00.00,0,0.0577519
49,2013-02-19,00:00:00.00,4.01899,0.052846
50,2013-02-20,00:00:00.00,3.01425,0.0472495
51,2013-02-21,00:00:00.00,1.00475,0.0413614
52,2013-02-22,00:00:00.00,0,0.0363546
53,2013-02-23,00:00:00.00,0.803799,0.0311311
54,2013-02-24,00:00:00.00,4.42089,0.0247936
55,2013-02-25,00:00:00.00,0,0.0187574
56,2013-02-26,00:00:00.00,0.20095,0.0141993
57,2013-02-27,00:00:00.00,14.2674,0.0107539
58,2013-02-28,00:00:00.00,12.057,0.00814442
59,2013-03-01,00:00:00.00,0,0.00616197
60,2013-03-02,00:00:00.00,0,0.00489514
61,2013-03-03,00:00:00.00,0,0.00393647
62,2013-03-04,00:00:00.00,0,0.00320898
63,2013-03-05,00:00:00.00,0,0.00265495
64,2013-03-06,00:00:00.00,0,0.00223119
65,2013-03-07,00:00:00.00,1.80855,0.00131834
66,2013-03-08,00:00:00.00,0.602849,0.000328247
67,2013-03-09,00:00:00.00,0,0.0155129
68,2013-03-10,00:00:00.00,0,0.0380504
69,2013-03-11,00:00:00.00,2.61235,0.1683
70,2013-03-12,00:00:00.00,22.1045,0.510954
71,2013-03-13,00:00:00.00,0.602849,0.733562
72,2013-03-14,00:00:00.00,0.602849,0.713851
73,2013-03-15,00:00:00.00,0,0.666259
74,2013-03-16,00:00:00.00,0.803799,0.618807
75,2013-03-17,00:00:00.00,1.2057,0.574641
76,2013-03-18,00:00:00.00,0,0.534428
77,2013-03-19,00:00:00.00,3.21519,0.497346
78,2013-03-20,00:00:00.00,1.40665,0.462086
79,2013-03-21,00:00:00.00,0.401899,0.429249
80,2013-03-22,00:00:00.00,1.6076,0.39955
81,2013-03-23,00:00:00.00,0.20095,0.371707
82,2013-03-24,00:00:00.00,0,0.342551
83,2013-03-25,00:00:00.00,0,0.313872
84,2013-03-26,00:00:00.00,0,0.294728
85,2013-03-27,00:00:00.00,0,0.338945
86,2013-03-28,00:00:00.00,1.40665,0.389915
87,2013-03-29,00:00:00.00,0,0.413383
88,2013-03-30,00:00:00.00,0,0.427762
89,2013-03-31,00:00:00.00,0,0.404308
90,2013-04-01,00:00:00.00,2.8133,0.381015
91,2013-04-02,00:00:00.00,7.63609,0.362833
92,2013-04-03,00:00:00.00,1.6076,0.340003
93,2013-04-04,00:00:00.00,0,0.317265
94,2013-04-05,00:00:00.00,0,0.29582
95,2013-04-06,00:00:00.00,0,0.285178
96,2013-04-07,00:00:00.00,0.401899,0.278009
97,2013-04-08,00:00:00.00,0,0.279971
98,2013-04-09,00:00:00.00,10.4494,0.328953
99,2013-04-10,00:00:00.00,24.7168,0.462445
100,2013-04-11,00:00:00.00,13.4636,0.609735
101,2013-04-12,00:00:00.00,16.6788,0.646767
102,2013-04-13,00:00:00.00,12.2579,0.622882
103,2013-04-14,00:00:00.00,2.4114,0.646629
104,2013-04-15,00:00:00.00,0,0.706586
105,2013-04-16,00:00:00.00,1.00475,0.70963
106,2013-04-17,00:00:00.00,1.40665,0.654998
107,2013-04-18,00:00:00.00,14.6693,0.643033
108,2013-04-19,00:00:00.00,14.6693,0.684346
109,2013-04-20,00:00:00.00,4.62184,0.686237
110,2013-04-21,00:00:00.00,0.20095,0.646679
111,2013-04-22,00:00:00.00,0,0.603911
112,2013-04-23,00:00:00.00,0,0.555545
113,2013-04-24,00:00:00.00,0.602849,0.49799
114,2013-04-25,00:00:00.00,9.04274,0.466461
115,2013-04-26,00:00:00.00,2.4114,0.454964
116,2013-04-27,00:00:00.00,0,0.421563
117,2013-04-28,00:00:00.00,0,0.37243
118,2013-04-29,00:00:00.00,7.23419,0.335575
119,2013-04-30,00:00:00.00,0,0.303075
120,2013-05-01,00:00:00.00,0,0.254386
121,2013-05-02,00:00:00.00,0,0.184705
122,2013-05-03,00:00:00.00,0,0.118932
123,2013-05-04,00:00:00.00,0,0.082036
124,2013-05-05,00:00:00.00,0,0.0603113
125,2013-05-06,00:00:00.00,0,0.0461847
126,2013-05-07,00:00:00.00,0,0.0355653
127,2013-05-08,00:00:00.00,0,0.0265709
128,2013-05-09,00:00:00.00,0.803799,0.0188592
129,2013-05-10,00:00:00.00,0.20095,0.0122619
130,2013-05-11,00:00:00.00,23.1092,0.0286599
131,2013-05-12,00:00:00.00,0.20095,0.059051
132,2013-05-13,00:00:00.00,2.61235,0.0753169
133,2013-05-14,00:00:00.00,0,0.0816851
134,2013-05-15,00:00:00.00,0.803799,0.0825969
