time,date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Evaporation[mm],Canopy Snow Sublimation[mm],Canopy Snow Sublimation[mm],Snow Balance[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Soil Evaporation[mm],Capillary Rise[mm],Lake Evaporation[mm],Lake Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,AET,CANOPY_SNOW,AET,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],AET,SOIL[1],SOIL[2],AET,SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,PONDED_WATER,CANOPY,CANOPY_SNOW,ATMOS_PRECIP,ATMOSPHERE,SNOW,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,SOIL[2],SURFACE_WATER,ATMOS_PRECIP,ATMOS_PRECIP,ATMOSPHERE,AET,ATMOSPHERE,AET,SNOW_LIQ,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,AET,SOIL[0],ATMOSPHERE,AET,SOIL[2],SURFACE_WATER,SURFACE_WATER
0,2013-01-01,00:00:00.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013-01-02,00:00:00.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013-01-03,00:00:00.00,0,0,0,0.00677607,0,0,0.189805,0,0,0,0,0.00436837,0,0,0,0,0.00677607,0.00677607,0,0,0,0,0.00436837,0,0,0,0,0,0,0,0
3,2013-01-04,00:00:00.00,0,0,0,0.0271043,0,0,0.759221,0,0,0,0,0.0174735,0,0,0,0,0.0271043,0.0271043,0,0,0,0,0.0174735,0,0,0,0,0,0,0,0
4,2013-01-05,00:00:00.00,0,0,0,0.0271043,0,0,0.759221,0,0,0,0,0.0174735,0,0,0,0,0.0271043,0.0271043,0,0,0,0,0.0174735,0,0,0,0,0,0,0,0
5,2013-01-06,00:00:00.00,0,0,0,0.115193,0,0,3.22669,0,0,0,0,0.0742623,0,0,0,0,0.115193,0.115193,0,0,0,0,0.0742623,0,0,0,0,0,0,0,0
6,2013-01-07,00:00:00.00,0,0,0,0.182954,0,0,5.12474,0,0,0,0,0.117946,0,0,0,0,0.182954,0.182954,0,0,0,0,0.117946,0,0,0,0,0,0,0,0
7,2013-01-08,00:00:00.00,0,0,0,0.182954,0,0,5.12474,0,0,0,0,0.117946,0,0,0,0,0.182954,0.182954,0,0,0,0,0.117946,0,0,0,0,0,0,0,0
8,2013-01-09,00:00:00.00,0,0,0,0.182954,0,0,5.12474,0,0,0,0,0.117946,0,0,0,0,0.182954,0.182954,0,0,0,0,0.117946,0,0,0,0,0,0,0,0
9,2013-01-10,00:00:00.00,0,0,0,0.182954,0,0,5.12474,0,0,0,0,0.117946,0,0,0,0,0.182954,0.182954,0,0,0,0,0.117946,0,0,0,0,0,0,0,0
10,2013-01-11,00:00:00.00,0,4.38299,0.122078,0.190908,0,0,5.34824,0.178018,0,0,0,0.227155,0,0,0.122078,0.122078,0.190908,0.190908,2.78083,2.86967,7.10976,0.142896,0.370051,0.000837042,0.000837042,0.142896,0,0,0,0,0
11,2013-01-12,00:00:00.00,0,9.16943,0.250171,0.190908,0,0,5.34824,0.178018,0,0,0,0.336364,0,0,0.250171,0.250171,0.190908,0.190908,5.22043,5.39401,12.4488,2.1146,2.45097,0.029871,0.029871,2.1146,0,0,0,0,0
12,2013-01-13,00:00:00.00,0,26.2092,0.706172,0.190908,0,0,5.34824,0.178018,0,0,0,0.725149,0,0,0.706172,0.706172,0.190908,0.190908,5.34824,5.52625,23.1016,8.63379,9.35894,0.0674487,0.0674487,8.63379,0,0,0,0,0
13,2013-01-14,00:00:00.00,0,30.8041,0.829141,0.190908,0,0,5.34824,0.178018,0,0,0,0.82999,0,0,0.829141,0.829141,0.190908,0.190908,5.34824,5.52625,25.1227,11.2077,12.0377,0.144805,0.144805,11.2077,0,0,0,0,0
14,2013-01-15,00:00:00.00,0,30.8041,0.829141,0.197684,0,0,5.53804,0.178018,0,0,0,0.834358,0,0,0.829141,0.829141,0.197684,0.197684,5.34824,5.52625,25.1227,11.2077,12.0421,0.160298,0.160298,11.2077,0,0,0,0,0
15,2013-01-16,00:00:00.00,0,30.8041,0.829141,0.197684,0,0,5.53804,0.178018,0,0,0,0.834358,0,0,0.829141,0.829141,0.197684,0.197684,5.34824,5.52625,25.1227,11.2077,12.0421,0.179169,0.179169,11.2077,0,0,0,0,0
16,2013-01-17,00:00:00.00,0,30.8041,0.829141,0.197684,0,0,5.53804,0.178018,0,0,0,0.834358,0,0,0.829141,0.829141,0.197684,0.197684,5.34824,5.52625,25.1227,11.2077,12.0421,0.197997,0.197997,11.2077,0,0,0,0,0
17,2013-01-18,00:00:00.00,0,30.8041,0.829141,0.434846,0,0,12.1812,0.178018,0,0,0,0.987251,0,0,0.829141,0.829141,0.434846,0.434846,5.34824,5.52625,25.1227,11.2077,12.195,0.197998,0.197998,11.2077,0,0,0,0,0
18,2013-01-19,00:00:00.00,0,30.8041,0.829141,0.434846,0,0,12.1812,0.178018,0,0,0,0.987251,0,0,0.829141,0.829141,0.434846,0.434846,5.34824,5.52625,25.1227,11.2077,12.195,0.210612,0.210612,11.2077,0,0,0,0,0
