time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2013-01-01,00:00:00.00,---,---,0,107.636,0.958248,0,0,0,0,0,0,0,0,0,0,109.102,0,0,0
1,2013-01-02,00:00:00.00,0,0,9.95713e-18,108.078,0.479124,0,0,0,0,0,0,0,0,0,0,108.557,0,0.0663402,-0.479124
2,2013-01-03,00:00:00.00,0,0.20095,9.95713e-18,107.967,0.479124,0,0.00677607,0,0,0.00436837,0,0,0.189805,0,0,108.647,0.20095,0.177267,-0.479124
3,2013-01-04,00:00:00.00,0,0.602849,9.95713e-18,107.889,0.479124,0,0.0271043,0,0,0.0174735,0,0,0.759221,0,0,109.172,0.803799,0.255463,-0.479124
4,2013-01-05,00:00:00.00,0,0,9.95713e-18,107.828,0.479124,0,0.0271043,0,0,0.0174735,0,0,0.759221,0,0,109.111,0.803799,0.316399,-0.479124
5,2013-01-06,00:00:00.00,0,2.61235,9.95713e-18,107.781,0.479124,0,0.115193,0,0,0.0742623,0,0,3.22669,0,0,111.677,3.41614,0.362854,-0.479124
6,2013-01-07,00:00:00.00,0,2.0095,9.95713e-18,107.746,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.651,5.42564,0.398436,-0.479124
7,2013-01-08,00:00:00.00,0,0,9.95713e-18,107.721,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.626,5.42564,0.422884,-0.479124
8,2013-01-09,00:00:00.00,0,0,9.95713e-18,107.7,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.605,5.42564,0.444389,-0.479124
9,2013-01-10,00:00:00.00,0,0,9.95713e-18,107.683,0.479124,0,0.182954,0,0,0.117946,0,0,5.12474,0,0,113.588,5.42564,0.46122,-0.479124
10,2013-01-11,00:00:00.00,4.78812,0.23562,9.95713e-18,107.67,0.479124,0,0.313823,-1.425e-16,7.25182,0.227155,0,0.0891837,2.5674,0,0,118.598,10.4494,0.474525,-0.479124
11,2013-01-12,00:00:00.00,5.02374,0,9.95713e-18,107.659,0.479124,0,0.47095,-1.11358e-16,14.5336,0.336364,0,0.00443961,0.127807,0,0,123.611,15.4731,0.485165,-0.479124
12,2013-01-13,00:00:00.00,17.8845,0,9.95713e-18,107.65,0.479124,0,0.964528,2.35805e-16,31.668,0.725149,0,0,0,0,0,141.487,33.3576,0.493784,-0.479124
13,2013-01-14,00:00:00.00,4.82279,0,9.95713e-18,107.643,0.479124,0,1.16485,0,36.1856,0.82999,0,0,0,0,0,146.303,38.1804,0.500871,-0.479123
14,2013-01-15,00:00:00.00,0,0.20095,9.95713e-18,107.637,0.479124,0,1.18712,0,36.1701,0.834358,0,0,0.189805,0,0,146.498,38.3814,0.506805,-0.479123
15,2013-01-16,00:00:00.00,0,0,9.95713e-18,107.632,0.479124,0,1.20599,0,36.1512,0.834358,0,0,0.189805,0,0,146.493,38.3814,0.511873,-0.479123
16,2013-01-17,00:00:00.00,0,0,9.95713e-18,107.628,0.479124,0,1.22482,0,36.1324,0.834358,0,0,0.189805,0,0,146.488,38.3814,0.516294,-0.479122
17,2013-01-18,00:00:00.00,0,7.03324,9.95713e-18,107.627,0.479124,0,1.46199,0,36.1324,0.987251,0,0,6.83299,0,0,153.521,45.4146,0.517039,-0.479121
18,2013-01-19,00:00:00.00,0,0,9.95713e-18,107.625,0.479124,0,1.4746,0,36.1198,0.987251,0,0,6.83299,0,0,153.518,45.4146,0.519683,-0.47912
19,2013-01-20,00:00:00.00,0,3.61709,9.95713e-18,107.621,0.479124,0,1.60076,0,36.1156,1.06588,0,0,10.2495,0,0,157.132,49.0317,0.52342,-0.479103
20,2013-01-21,00:00:00.00,0,1.40665,9.95713e-18,107.62,0.479124,0,1.64909,0,36.1147,1.09646,0,0,11.5781,0,0,158.537,50.4384,0.524294,-0.479072
21,2013-01-22,00:00:00.00,0,0.401899,9.95713e-18,107.62,0.479124,0,1.66264,0,36.1147,1.1052,0,0,11.9577,0,0,158.939,50.8403,0.524294,-0.479072
22,2013-01-23,00:00:00.00,0,0.803799,9.95713e-18,107.62,0.479124,0,1.68975,0,36.1147,1.12267,0,0,12.717,0,0,159.743,51.6441,0.524294,-0.479072
23,2013-01-24,00:00:00.00,0,0.20095,9.95713e-18,107.62,0.479124,0,1.69652,0,36.1147,1.12704,0,0,12.9068,0,0,159.944,51.845,0.524294,-0.479072
24,2013-01-25,00:00:00.00,0,0,9.95713e-18,107.62,0.479124,0,1.69652,0,36.1147,1.12704,0,0,12.9068,0,0,159.944,51.845,0.524294,-0.479072
