True Cost 	Penalty 	Adjusted Cost
2.526760E+01	0.000000E+00	2.526760E+01
4.097980E+01	0.000000E+00	4.097980E+01
3.822780E+01	0.000000E+00	3.822780E+01
1.518310E+01	0.000000E+00	1.518310E+01
2.741890E+01	0.000000E+00	2.741890E+01
2.208210E+01	0.000000E+00	2.208210E+01
7.237700E+00	0.000000E+00	7.237700E+00
7.646640E+00	0.000000E+00	7.646640E+00
4.941460E+00	0.000000E+00	4.941460E+00
1.297040E+01	0.000000E+00	1.297040E+01
5.104870E+00	0.000000E+00	5.104870E+00
1.192840E+01	0.000000E+00	1.192840E+01
5.104140E+00	0.000000E+00	5.104140E+00
1.631010E+01	0.000000E+00	1.631010E+01
1.568990E+01	0.000000E+00	1.568990E+01
1.638890E+01	0.000000E+00	1.638890E+01
2.787940E+01	0.000000E+00	2.787940E+01
2.232230E+01	0.000000E+00	2.232230E+01
2.334410E+01	0.000000E+00	2.334410E+01
2.905620E+01	0.000000E+00	2.905620E+01
1.637320E+01	0.000000E+00	1.637320E+01
6.920070E+00	0.000000E+00	6.920070E+00
6.769510E+00	0.000000E+00	6.769510E+00
9.100790E+00	0.000000E+00	9.100790E+00
1.061450E+01	0.000000E+00	1.061450E+01
1.057870E+01	0.000000E+00	1.057870E+01
1.075420E+01	0.000000E+00	1.075420E+01
1.074640E+01	0.000000E+00	1.074640E+01
1.610300E+01	0.000000E+00	1.610300E+01
2.206260E+01	0.000000E+00	2.206260E+01
2.364140E+01	0.000000E+00	2.364140E+01
9.117900E+01	0.000000E+00	9.117900E+01
1.077510E+01	0.000000E+00	1.077510E+01
1.197970E+01	0.000000E+00	1.197970E+01
2.456100E+01	0.000000E+00	2.456100E+01
2.604420E+01	0.000000E+00	2.604420E+01
1.846560E+01	0.000000E+00	1.846560E+01
1.197970E+01	0.000000E+00	1.197970E+01
1.199890E+01	0.000000E+00	1.199890E+01
1.197970E+01	0.000000E+00	1.197970E+01
1.209870E+01	0.000000E+00	1.209870E+01
1.209870E+01	0.000000E+00	1.209870E+01
1.309250E+01	0.000000E+00	1.309250E+01
2.555620E+01	0.000000E+00	2.555620E+01
1.210750E+01	0.000000E+00	1.210750E+01
1.456010E+01	0.000000E+00	1.456010E+01
1.059890E+01	0.000000E+00	1.059890E+01
1.697070E+01	0.000000E+00	1.697070E+01
1.061570E+01	0.000000E+00	1.061570E+01
1.184900E+01	0.000000E+00	1.184900E+01
2.576520E+01	0.000000E+00	2.576520E+01
7.377020E+00	0.000000E+00	7.377020E+00
1.061120E+01	0.000000E+00	1.061120E+01
1.057420E+01	0.000000E+00	1.057420E+01
1.061570E+01	0.000000E+00	1.061570E+01
1.059030E+01	0.000000E+00	1.059030E+01
1.058980E+01	0.000000E+00	1.058980E+01
9.389370E+00	0.000000E+00	9.389370E+00
8.679880E+00	0.000000E+00	8.679880E+00
8.673800E+00	0.000000E+00	8.673800E+00
8.830850E+00	0.000000E+00	8.830850E+00
1.235640E+01	0.000000E+00	1.235640E+01
9.213460E+00	0.000000E+00	9.213460E+00
1.312950E+01	0.000000E+00	1.312950E+01
9.295240E+00	0.000000E+00	9.295240E+00
6.099930E+00	0.000000E+00	6.099930E+00
5.507510E+00	0.000000E+00	5.507510E+00
5.506470E+00	0.000000E+00	5.506470E+00
5.506470E+00	0.000000E+00	5.506470E+00
1.135310E+01	0.000000E+00	1.135310E+01
7.238460E+00	0.000000E+00	7.238460E+00
5.945170E+00	0.000000E+00	5.945170E+00
5.945370E+00	0.000000E+00	5.945370E+00
5.945190E+00	0.000000E+00	5.945190E+00
5.934380E+00	0.000000E+00	5.934380E+00
6.358400E+00	0.000000E+00	6.358400E+00
5.945090E+00	0.000000E+00	5.945090E+00
5.944740E+00	0.000000E+00	5.944740E+00
5.723410E+00	0.000000E+00	5.723410E+00
5.944800E+00	0.000000E+00	5.944800E+00
5.950370E+00	0.000000E+00	5.950370E+00
5.399460E+00	0.000000E+00	5.399460E+00
7.648610E+00	0.000000E+00	7.648610E+00
5.470950E+00	0.000000E+00	5.470950E+00
5.396530E+00	0.000000E+00	5.396530E+00
5.396530E+00	0.000000E+00	5.396530E+00
5.467570E+00	0.000000E+00	5.467570E+00
6.084380E+00	0.000000E+00	6.084380E+00
6.147690E+00	0.000000E+00	6.147690E+00
6.937330E+00	0.000000E+00	6.937330E+00
6.580720E+00	0.000000E+00	6.580720E+00
1.192270E+01	0.000000E+00	1.192270E+01
1.247770E+01	0.000000E+00	1.247770E+01
1.236550E+01	0.000000E+00	1.236550E+01
1.302350E+01	0.000000E+00	1.302350E+01
1.056000E+01	0.000000E+00	1.056000E+01
1.168370E+01	0.000000E+00	1.168370E+01
1.175100E+01	0.000000E+00	1.175100E+01
1.168410E+01	0.000000E+00	1.168410E+01
1.167700E+01	0.000000E+00	1.167700E+01
1.200080E+01	0.000000E+00	1.200080E+01
1.090630E+01	0.000000E+00	1.090630E+01
1.096280E+01	0.000000E+00	1.096280E+01
2.048930E+01	0.000000E+00	2.048930E+01
1.089890E+01	0.000000E+00	1.089890E+01
1.083480E+01	0.000000E+00	1.083480E+01
1.083480E+01	0.000000E+00	1.083480E+01
1.819130E+01	0.000000E+00	1.819130E+01
1.162770E+01	0.000000E+00	1.162770E+01
1.093000E+01	0.000000E+00	1.093000E+01
1.160210E+01	0.000000E+00	1.160210E+01
1.094580E+01	0.000000E+00	1.094580E+01
1.105640E+01	0.000000E+00	1.105640E+01
1.118750E+01	0.000000E+00	1.118750E+01
1.374640E+01	0.000000E+00	1.374640E+01
1.068220E+01	0.000000E+00	1.068220E+01
1.068530E+01	0.000000E+00	1.068530E+01
1.068530E+01	0.000000E+00	1.068530E+01
1.426310E+01	0.000000E+00	1.426310E+01
1.065610E+01	0.000000E+00	1.065610E+01
1.057490E+01	0.000000E+00	1.057490E+01
1.727420E+01	0.000000E+00	1.727420E+01
9.313270E+00	0.000000E+00	9.313270E+00
8.238340E+00	0.000000E+00	8.238340E+00
8.238180E+00	0.000000E+00	8.238180E+00
8.223340E+00	0.000000E+00	8.223340E+00
8.223350E+00	0.000000E+00	8.223350E+00
9.260520E+00	0.000000E+00	9.260520E+00
