True Cost 	Penalty 	Adjusted Cost
-4.248580E-01	0.000000E+00	-4.248580E-01
-3.967290E-01	0.000000E+00	-3.967290E-01
-4.677960E-01	0.000000E+00	-4.677960E-01
-2.108030E-01	0.000000E+00	-2.108030E-01
-5.285010E-01	0.000000E+00	-5.285010E-01
-5.654020E-01	0.000000E+00	-5.654020E-01
-5.901250E-01	0.000000E+00	-5.901250E-01
-6.226960E-01	0.000000E+00	-6.226960E-01
-5.931330E-01	0.000000E+00	-5.931330E-01
-5.829090E-01	0.000000E+00	-5.829090E-01
-5.946560E-01	0.000000E+00	-5.946560E-01
-6.122460E-01	0.000000E+00	-6.122460E-01
-5.947870E-01	0.000000E+00	-5.947870E-01
-6.002500E-01	0.000000E+00	-6.002500E-01
-5.941570E-01	0.000000E+00	-5.941570E-01
-6.030040E-01	0.000000E+00	-6.030040E-01
-4.193590E-01	0.000000E+00	-4.193590E-01
-4.230140E-01	0.000000E+00	-4.230140E-01
-4.178300E-01	0.000000E+00	-4.178300E-01
-2.808060E-01	0.000000E+00	-2.808060E-01
-5.992190E-01	0.000000E+00	-5.992190E-01
-6.235990E-01	0.000000E+00	-6.235990E-01
-6.197580E-01	0.000000E+00	-6.197580E-01
-6.228300E-01	0.000000E+00	-6.228300E-01
-6.106260E-01	0.000000E+00	-6.106260E-01
-6.101750E-01	0.000000E+00	-6.101750E-01
-6.198710E-01	0.000000E+00	-6.198710E-01
-6.187240E-01	0.000000E+00	-6.187240E-01
-5.994180E-01	0.000000E+00	-5.994180E-01
-5.650330E-01	0.000000E+00	-5.650330E-01
-5.424540E-01	0.000000E+00	-5.424540E-01
5.402420E-01	0.000000E+00	5.402420E-01
-6.201320E-01	0.000000E+00	-6.201320E-01
-6.033330E-01	0.000000E+00	-6.033330E-01
-5.350640E-01	0.000000E+00	-5.350640E-01
-5.246420E-01	0.000000E+00	-5.246420E-01
-5.484590E-01	0.000000E+00	-5.484590E-01
-6.033330E-01	0.000000E+00	-6.033330E-01
-6.029250E-01	0.000000E+00	-6.029250E-01
-6.033330E-01	0.000000E+00	-6.033330E-01
-6.032580E-01	0.000000E+00	-6.032580E-01
-6.032580E-01	0.000000E+00	-6.032580E-01
-6.000230E-01	0.000000E+00	-6.000230E-01
-5.294570E-01	0.000000E+00	-5.294570E-01
-6.030180E-01	0.000000E+00	-6.030180E-01
-5.946350E-01	0.000000E+00	-5.946350E-01
-6.198600E-01	0.000000E+00	-6.198600E-01
-6.004630E-01	0.000000E+00	-6.004630E-01
-6.198670E-01	0.000000E+00	-6.198670E-01
-6.156490E-01	0.000000E+00	-6.156490E-01
-5.472030E-01	0.000000E+00	-5.472030E-01
-5.967120E-01	0.000000E+00	-5.967120E-01
-6.195580E-01	0.000000E+00	-6.195580E-01
-6.199870E-01	0.000000E+00	-6.199870E-01
-6.201420E-01	0.000000E+00	-6.201420E-01
-6.255350E-01	0.000000E+00	-6.255350E-01
-6.255090E-01	0.000000E+00	-6.255090E-01
-6.219520E-01	0.000000E+00	-6.219520E-01
-6.248570E-01	0.000000E+00	-6.248570E-01
-6.246140E-01	0.000000E+00	-6.246140E-01
-6.244430E-01	0.000000E+00	-6.244430E-01
-6.177020E-01	0.000000E+00	-6.177020E-01
-6.315440E-01	0.000000E+00	-6.315440E-01
-5.826940E-01	0.000000E+00	-5.826940E-01
-6.312730E-01	0.000000E+00	-6.312730E-01
-6.086510E-01	0.000000E+00	-6.086510E-01
-6.089400E-01	0.000000E+00	-6.089400E-01
-6.085220E-01	0.000000E+00	-6.085220E-01
-6.085220E-01	0.000000E+00	-6.085220E-01
-5.690090E-01	0.000000E+00	-5.690090E-01
-6.100990E-01	0.000000E+00	-6.100990E-01
-6.110870E-01	0.000000E+00	-6.110870E-01
-6.111490E-01	0.000000E+00	-6.111490E-01
-6.110930E-01	0.000000E+00	-6.110930E-01
