True Cost 	Penalty 	Adjusted Cost
-1.537590E-01	0.000000E+00	-1.537590E-01
4.895460E-03	0.000000E+00	4.895460E-03
-1.936590E-01	0.000000E+00	-1.936590E-01
9.251800E-01	0.000000E+00	9.251800E-01
-1.831080E-01	0.000000E+00	-1.831080E-01
-1.829320E-01	0.000000E+00	-1.829320E-01
-1.161160E-01	0.000000E+00	-1.161160E-01
-1.984130E-01	0.000000E+00	-1.984130E-01
-1.328760E-01	0.000000E+00	-1.328760E-01
-1.393060E-01	0.000000E+00	-1.393060E-01
-1.401420E-01	0.000000E+00	-1.401420E-01
-1.965180E-01	0.000000E+00	-1.965180E-01
-1.404870E-01	0.000000E+00	-1.404870E-01
-2.011980E-01	0.000000E+00	-2.011980E-01
-1.812140E-01	0.000000E+00	-1.812140E-01
-2.094330E-01	0.000000E+00	-2.094330E-01
-2.105770E-01	0.000000E+00	-2.105770E-01
-2.252490E-01	0.000000E+00	-2.252490E-01
-2.219670E-01	0.000000E+00	-2.219670E-01
-1.649380E-01	0.000000E+00	-1.649380E-01
-1.990640E-01	0.000000E+00	-1.990640E-01
-1.986700E-01	0.000000E+00	-1.986700E-01
-1.882970E-01	0.000000E+00	-1.882970E-01
-2.203170E-01	0.000000E+00	-2.203170E-01
-2.311910E-01	0.000000E+00	-2.311910E-01
-2.311860E-01	0.000000E+00	-2.311860E-01
-2.563100E-01	0.000000E+00	-2.563100E-01
-2.534570E-01	0.000000E+00	-2.534570E-01
-2.517280E-01	0.000000E+00	-2.517280E-01
-2.398540E-01	0.000000E+00	-2.398540E-01
-2.040710E-01	0.000000E+00	-2.040710E-01
3.164990E-01	0.000000E+00	3.164990E-01
-2.554390E-01	0.000000E+00	-2.554390E-01
-2.591140E-01	0.000000E+00	-2.591140E-01
-2.299050E-01	0.000000E+00	-2.299050E-01
-2.220390E-01	0.000000E+00	-2.220390E-01
-1.873300E-01	0.000000E+00	-1.873300E-01
-2.591140E-01	0.000000E+00	-2.591140E-01
-2.587520E-01	0.000000E+00	-2.587520E-01
-2.591140E-01	0.000000E+00	-2.591140E-01
-2.613210E-01	0.000000E+00	-2.613210E-01
-2.613210E-01	0.000000E+00	-2.613210E-01
-2.617500E-01	0.000000E+00	-2.617500E-01
-2.370280E-01	0.000000E+00	-2.370280E-01
-2.611550E-01	0.000000E+00	-2.611550E-01
-2.614580E-01	0.000000E+00	-2.614580E-01
-2.203630E-01	0.000000E+00	-2.203630E-01
-2.281560E-01	0.000000E+00	-2.281560E-01
-2.208480E-01	0.000000E+00	-2.208480E-01
-2.423410E-01	0.000000E+00	-2.423410E-01
-2.092920E-01	0.000000E+00	-2.092920E-01
-1.338520E-01	0.000000E+00	-1.338520E-01
-2.186290E-01	0.000000E+00	-2.186290E-01
-2.199840E-01	0.000000E+00	-2.199840E-01
-2.213110E-01	0.000000E+00	-2.213110E-01
-2.332670E-01	0.000000E+00	-2.332670E-01
-2.330730E-01	0.000000E+00	-2.330730E-01
-2.064280E-01	0.000000E+00	-2.064280E-01
-2.089920E-01	0.000000E+00	-2.089920E-01
-2.083850E-01	0.000000E+00	-2.083850E-01
-2.087590E-01	0.000000E+00	-2.087590E-01
-2.136370E-01	0.000000E+00	-2.136370E-01
-2.421960E-01	0.000000E+00	-2.421960E-01
-2.595970E-01	0.000000E+00	-2.595970E-01
-2.432170E-01	0.000000E+00	-2.432170E-01
-1.631170E-01	0.000000E+00	-1.631170E-01
-1.614350E-01	0.000000E+00	-1.614350E-01
-1.604390E-01	0.000000E+00	-1.604390E-01
-1.604390E-01	0.000000E+00	-1.604390E-01
-8.933960E-02	0.000000E+00	-8.933960E-02
-1.700510E-01	0.000000E+00	-1.700510E-01
-1.671640E-01	0.000000E+00	-1.671640E-01
-1.673140E-01	0.000000E+00	-1.673140E-01
-1.671780E-01	0.000000E+00	-1.671780E-01
-1.544750E-01	0.000000E+00	-1.544750E-01
-1.620810E-01	0.000000E+00	-1.620810E-01
-1.671020E-01	0.000000E+00	-1.671020E-01
-1.669070E-01	0.000000E+00	-1.669070E-01
-1.588790E-01	0.000000E+00	-1.588790E-01
-1.669280E-01	0.000000E+00	-1.669280E-01
-1.719740E-01	0.000000E+00	-1.719740E-01
-1.789000E-01	0.000000E+00	-1.789000E-01
-1.904080E-01	0.000000E+00	-1.904080E-01
-1.495310E-01	0.000000E+00	-1.495310E-01
-1.764160E-01	0.000000E+00	-1.764160E-01
-1.764160E-01	0.000000E+00	-1.764160E-01
-1.502850E-01	0.000000E+00	-1.502850E-01
-1.663570E-01	0.000000E+00	-1.663570E-01
-1.644160E-01	0.000000E+00	-1.644160E-01
-1.997410E-01	0.000000E+00	-1.997410E-01
-1.887760E-01	0.000000E+00	-1.887760E-01
-2.774540E-01	0.000000E+00	-2.774540E-01
-2.637820E-01	0.000000E+00	-2.637820E-01
-2.791160E-01	0.000000E+00	-2.791160E-01
-2.803710E-01	0.000000E+00	-2.803710E-01
-2.674620E-01	0.000000E+00	-2.674620E-01
-2.696670E-01	0.000000E+00	-2.696670E-01
-2.595320E-01	0.000000E+00	-2.595320E-01
-2.697770E-01	0.000000E+00	-2.697770E-01
-2.674100E-01	0.000000E+00	-2.674100E-01
-2.725800E-01	0.000000E+00	-2.725800E-01
-2.612230E-01	0.000000E+00	-2.612230E-01
-2.477240E-01	0.000000E+00	-2.477240E-01
-2.648120E-01	0.000000E+00	-2.648120E-01
-2.568640E-01	0.000000E+00	-2.568640E-01
-2.617590E-01	0.000000E+00	-2.617590E-01
-2.617590E-01	0.000000E+00	-2.617590E-01
-2.480810E-01	0.000000E+00	-2.480810E-01
-2.459260E-01	0.000000E+00	-2.459260E-01
-2.328480E-01	0.000000E+00	-2.328480E-01
-2.463090E-01	0.000000E+00	-2.463090E-01
-2.472780E-01	0.000000E+00	-2.472780E-01
-2.636890E-01	0.000000E+00	-2.636890E-01
-2.460040E-01	0.000000E+00	-2.460040E-01
-2.667500E-01	0.000000E+00	-2.667500E-01
-2.660810E-01	0.000000E+00	-2.660810E-01
-2.669440E-01	0.000000E+00	-2.669440E-01
-2.669440E-01	0.000000E+00	-2.669440E-01
-2.703150E-01	0.000000E+00	-2.703150E-01
-2.737580E-01	0.000000E+00	-2.737580E-01
-2.681770E-01	0.000000E+00	-2.681770E-01
-2.436210E-01	0.000000E+00	-2.436210E-01
-2.664140E-01	0.000000E+00	-2.664140E-01
-2.646930E-01	0.000000E+00	-2.646930E-01
-2.647160E-01	0.000000E+00	-2.647160E-01
-2.504780E-01	0.000000E+00	-2.504780E-01
-2.504680E-01	0.000000E+00	-2.504680E-01
-2.264460E-01	0.000000E+00	-2.264460E-01
-2.444320E-01	0.000000E+00	-2.444320E-01
-1.487290E-01	0.000000E+00	-1.487290E-01
-2.479580E-01	0.000000E+00	-2.479580E-01
-2.600750E-01	0.000000E+00	-2.600750E-01
-2.514130E-01	0.000000E+00	-2.514130E-01
-2.282190E-01	0.000000E+00	-2.282190E-01
-2.720670E-01	0.000000E+00	-2.720670E-01
-2.766230E-01	0.000000E+00	-2.766230E-01
-2.720670E-01	0.000000E+00	-2.720670E-01
-2.878750E-01	0.000000E+00	-2.878750E-01
-2.892740E-01	0.000000E+00	-2.892740E-01
-2.888380E-01	0.000000E+00	-2.888380E-01
-2.779170E-01	0.000000E+00	-2.779170E-01
-2.889130E-01	0.000000E+00	-2.889130E-01
-2.779480E-01	0.000000E+00	-2.779480E-01
-2.893760E-01	0.000000E+00	-2.893760E-01
-2.902570E-01	0.000000E+00	-2.902570E-01
-2.866320E-01	0.000000E+00	-2.866320E-01
-2.677000E-01	0.000000E+00	-2.677000E-01
-2.902480E-01	0.000000E+00	-2.902480E-01
-2.898480E-01	0.000000E+00	-2.898480E-01
-2.898600E-01	0.000000E+00	-2.898600E-01
-2.898450E-01	0.000000E+00	-2.898450E-01
-2.768740E-01	0.000000E+00	-2.768740E-01
-2.878490E-01	0.000000E+00	-2.878490E-01
-2.511840E-01	0.000000E+00	-2.511840E-01
-2.562030E-01	0.000000E+00	-2.562030E-01
-2.725250E-01	0.000000E+00	-2.725250E-01
-2.817540E-01	0.000000E+00	-2.817540E-01
-2.824560E-01	0.000000E+00	-2.824560E-01
-2.824590E-01	0.000000E+00	-2.824590E-01
2.346020E-01	0.000000E+00	2.346020E-01
-2.598580E-01	0.000000E+00	-2.598580E-01
-2.824590E-01	0.000000E+00	-2.824590E-01
-2.952940E-01	0.000000E+00	-2.952940E-01
-2.938600E-01	0.000000E+00	-2.938600E-01
-2.952940E-01	0.000000E+00	-2.952940E-01
-2.934740E-01	0.000000E+00	-2.934740E-01
-2.952900E-01	0.000000E+00	-2.952900E-01
-2.952900E-01	0.000000E+00	-2.952900E-01
-2.783510E-01	0.000000E+00	-2.783510E-01
-2.749640E-01	0.000000E+00	-2.749640E-01
-2.730170E-01	0.000000E+00	-2.730170E-01
-2.809300E-01	0.000000E+00	-2.809300E-01
-2.406460E-01	0.000000E+00	-2.406460E-01
-2.700640E-01	0.000000E+00	-2.700640E-01
-2.648530E-01	0.000000E+00	-2.648530E-01
-2.809970E-01	0.000000E+00	-2.809970E-01
-2.981790E-01	0.000000E+00	-2.981790E-01
-2.982320E-01	0.000000E+00	-2.982320E-01
-2.961390E-01	0.000000E+00	-2.961390E-01
-2.406710E-01	0.000000E+00	-2.406710E-01
-2.972020E-01	0.000000E+00	-2.972020E-01
-2.736220E-01	0.000000E+00	-2.736220E-01
8.014590E-02	0.000000E+00	8.014590E-02
-2.971630E-01	0.000000E+00	-2.971630E-01
3.085780E-04	0.000000E+00	3.085780E-04
-2.971750E-01	0.000000E+00	-2.971750E-01
-2.596280E-01	0.000000E+00	-2.596280E-01
-2.814470E-01	0.000000E+00	-2.814470E-01
-2.626530E-01	0.000000E+00	-2.626530E-01
-2.804570E-01	0.000000E+00	-2.804570E-01
-2.011550E-01	0.000000E+00	-2.011550E-01
-2.971650E-01	0.000000E+00	-2.971650E-01
-2.959570E-01	0.000000E+00	-2.959570E-01
-2.970880E-01	0.000000E+00	-2.970880E-01
-2.676130E-01	0.000000E+00	-2.676130E-01
-2.768030E-01	0.000000E+00	-2.768030E-01
-2.833680E-01	0.000000E+00	-2.833680E-01
-2.723600E-01	0.000000E+00	-2.723600E-01
-3.122040E-01	0.000000E+00	-3.122040E-01
-3.122110E-01	0.000000E+00	-3.122110E-01
