True Cost 	Penalty 	Adjusted Cost
1.489170E+01	0.000000E+00	1.489170E+01
1.622770E+01	0.000000E+00	1.622770E+01
1.453640E+01	0.000000E+00	1.453640E+01
2.246120E+01	0.000000E+00	2.246120E+01
1.463120E+01	0.000000E+00	1.463120E+01
1.463280E+01	0.000000E+00	1.463280E+01
1.521930E+01	0.000000E+00	1.521930E+01
1.449350E+01	0.000000E+00	1.449350E+01
1.507430E+01	0.000000E+00	1.507430E+01
1.501830E+01	0.000000E+00	1.501830E+01
1.501100E+01	0.000000E+00	1.501100E+01
1.451060E+01	0.000000E+00	1.451060E+01
1.500800E+01	0.000000E+00	1.500800E+01
1.446830E+01	0.000000E+00	1.446830E+01
1.464810E+01	0.000000E+00	1.464810E+01
1.439350E+01	0.000000E+00	1.439350E+01
1.438310E+01	0.000000E+00	1.438310E+01
1.424880E+01	0.000000E+00	1.424880E+01
1.427890E+01	0.000000E+00	1.427890E+01
1.479300E+01	0.000000E+00	1.479300E+01
1.448760E+01	0.000000E+00	1.448760E+01
1.449110E+01	0.000000E+00	1.449110E+01
1.458460E+01	0.000000E+00	1.458460E+01
1.429410E+01	0.000000E+00	1.429410E+01
1.419400E+01	0.000000E+00	1.419400E+01
1.419410E+01	0.000000E+00	1.419410E+01
1.396020E+01	0.000000E+00	1.396020E+01
1.398700E+01	0.000000E+00	1.398700E+01
1.400320E+01	0.000000E+00	1.400320E+01
1.411380E+01	0.000000E+00	1.411380E+01
1.444220E+01	0.000000E+00	1.444220E+01
1.857410E+01	0.000000E+00	1.857410E+01
1.396840E+01	0.000000E+00	1.396840E+01
1.393390E+01	0.000000E+00	1.393390E+01
1.420590E+01	0.000000E+00	1.420590E+01
1.427830E+01	0.000000E+00	1.427830E+01
1.459330E+01	0.000000E+00	1.459330E+01
1.393390E+01	0.000000E+00	1.393390E+01
1.393730E+01	0.000000E+00	1.393730E+01
1.393390E+01	0.000000E+00	1.393390E+01
1.391310E+01	0.000000E+00	1.391310E+01
1.391310E+01	0.000000E+00	1.391310E+01
1.390910E+01	0.000000E+00	1.390910E+01
1.414010E+01	0.000000E+00	1.414010E+01
1.391470E+01	0.000000E+00	1.391470E+01
1.391180E+01	0.000000E+00	1.391180E+01
1.429360E+01	0.000000E+00	1.429360E+01
1.422200E+01	0.000000E+00	1.422200E+01
1.428920E+01	0.000000E+00	1.428920E+01
1.409070E+01	0.000000E+00	1.409070E+01
1.439480E+01	0.000000E+00	1.439480E+01
1.506580E+01	0.000000E+00	1.506580E+01
1.430950E+01	0.000000E+00	1.430950E+01
1.429710E+01	0.000000E+00	1.429710E+01
1.428500E+01	0.000000E+00	1.428500E+01
1.417490E+01	0.000000E+00	1.417490E+01
1.417670E+01	0.000000E+00	1.417670E+01
1.442080E+01	0.000000E+00	1.442080E+01
1.439750E+01	0.000000E+00	1.439750E+01
1.440300E+01	0.000000E+00	1.440300E+01
1.439960E+01	0.000000E+00	1.439960E+01
1.435520E+01	0.000000E+00	1.435520E+01
1.409210E+01	0.000000E+00	1.409210E+01
1.392940E+01	0.000000E+00	1.392940E+01
1.408260E+01	0.000000E+00	1.408260E+01
1.480910E+01	0.000000E+00	1.480910E+01
1.482400E+01	0.000000E+00	1.482400E+01
1.483280E+01	0.000000E+00	1.483280E+01
1.483280E+01	0.000000E+00	1.483280E+01
1.544810E+01	0.000000E+00	1.544810E+01
1.474760E+01	0.000000E+00	1.474760E+01
1.477330E+01	0.000000E+00	1.477330E+01
1.477190E+01	0.000000E+00	1.477190E+01
1.477310E+01	0.000000E+00	1.477310E+01
1.488540E+01	0.000000E+00	1.488540E+01
1.481830E+01	0.000000E+00	1.481830E+01
1.477380E+01	0.000000E+00	1.477380E+01
1.477560E+01	0.000000E+00	1.477560E+01
1.484660E+01	0.000000E+00	1.484660E+01
1.477540E+01	0.000000E+00	1.477540E+01
1.473050E+01	0.000000E+00	1.473050E+01
1.466880E+01	0.000000E+00	1.466880E+01
1.456570E+01	0.000000E+00	1.456570E+01
1.492880E+01	0.000000E+00	1.492880E+01
1.469100E+01	0.000000E+00	1.469100E+01
1.469100E+01	0.000000E+00	1.469100E+01
1.492220E+01	0.000000E+00	1.492220E+01
1.478040E+01	0.000000E+00	1.478040E+01
1.479760E+01	0.000000E+00	1.479760E+01
1.448150E+01	0.000000E+00	1.448150E+01
1.458030E+01	0.000000E+00	1.458030E+01
1.376040E+01	0.000000E+00	1.376040E+01
1.388990E+01	0.000000E+00	1.388990E+01
1.374450E+01	0.000000E+00	1.374450E+01
1.373260E+01	0.000000E+00	1.373260E+01
1.385520E+01	0.000000E+00	1.385520E+01
1.383430E+01	0.000000E+00	1.383430E+01
1.393000E+01	0.000000E+00	1.393000E+01
1.383330E+01	0.000000E+00	1.383330E+01
1.385570E+01	0.000000E+00	1.385570E+01
1.380670E+01	0.000000E+00	1.380670E+01
1.391410E+01	0.000000E+00	1.391410E+01
1.404060E+01	0.000000E+00	1.404060E+01
1.388020E+01	0.000000E+00	1.388020E+01
1.395500E+01	0.000000E+00	1.395500E+01
1.390900E+01	0.000000E+00	1.390900E+01
1.390900E+01	0.000000E+00	1.390900E+01
1.403730E+01	0.000000E+00	1.403730E+01
1.405740E+01	0.000000E+00	1.405740E+01
1.417870E+01	0.000000E+00	1.417870E+01
1.405380E+01	0.000000E+00	1.405380E+01
1.404480E+01	0.000000E+00	1.404480E+01
1.389080E+01	0.000000E+00	1.389080E+01
1.405660E+01	0.000000E+00	1.405660E+01
1.386190E+01	0.000000E+00	1.386190E+01
1.386820E+01	0.000000E+00	1.386820E+01
1.386010E+01	0.000000E+00	1.386010E+01
1.386010E+01	0.000000E+00	1.386010E+01
1.382820E+01	0.000000E+00	1.382820E+01
1.379550E+01	0.000000E+00	1.379550E+01
1.384840E+01	0.000000E+00	1.384840E+01
1.407880E+01	0.000000E+00	1.407880E+01
1.386510E+01	0.000000E+00	1.386510E+01
1.388130E+01	0.000000E+00	1.388130E+01
1.388110E+01	0.000000E+00	1.388110E+01
