Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
1     1.537590E-01  1.489170E+01  4.248580E-01  2.526760E+01  8.436855E-02  6.070112E+00  2.504375E-01  4.161104E+01  2.921263E+00  5.232854E-02  
2     -4.895460E-03  1.622770E+01  3.967290E-01  4.097980E+01  2.300543E-01  5.421962E+00  3.201100E-01  1.928244E+01  6.361159E+00  9.045487E-02  
3     1.936590E-01  1.453640E+01  4.677960E-01  3.822780E+01  2.451069E-01  9.623291E-01  6.689072E-01  2.537917E+01  6.856321E+00  1.747912E-01  
4     -9.251800E-01  2.246120E+01  2.108030E-01  1.518310E+01  8.995507E-02  3.107939E+00  5.619203E-01  6.317408E+00  6.630083E+00  1.101823E-01  
5     1.831080E-01  1.463120E+01  5.285010E-01  2.741890E+01  1.381093E-01  3.576252E+00  5.562575E-01  7.332007E+01  5.312631E+00  1.317552E-01  
6     1.829320E-01  1.463280E+01  5.654020E-01  2.208210E+01  1.135155E-01  4.693167E+00  7.427440E-01  5.492934E+01  4.940296E+00  1.433716E-01  
7     1.161160E-01  1.521930E+01  5.901250E-01  7.237700E+00  5.038815E-02  4.389160E+00  7.409578E-01  2.861635E+01  2.825727E+00  1.499857E-01  
8     1.984130E-01  1.449350E+01  6.226960E-01  7.646640E+00  5.038815E-02  4.648114E+00  6.146901E-01  5.070167E+01  5.182417E+00  1.499857E-01  
9     1.328760E-01  1.507430E+01  5.931330E-01  4.941460E+00  5.038815E-02  7.000000E+00  3.772124E-01  6.604696E+01  4.804317E+00  2.000000E-01  
10    1.393060E-01  1.501830E+01  5.829090E-01  1.297040E+01  8.276193E-02  6.817767E+00  1.835785E-01  5.525565E+01  4.804317E+00  2.000000E-01  
11    1.401420E-01  1.501100E+01  5.946560E-01  5.104870E+00  5.038815E-02  7.000000E+00  3.772124E-01  6.362177E+01  6.533605E+00  2.000000E-01  
12    1.965180E-01  1.451060E+01  6.122460E-01  1.192840E+01  6.689840E-02  6.538981E+00  3.772124E-01  8.000000E+01  9.206797E+00  1.562739E-01  
13    1.404870E-01  1.500800E+01  5.947870E-01  5.104140E+00  5.038815E-02  7.000000E+00  3.772124E-01  6.429785E+01  6.533605E+00  2.000000E-01  
14    2.011980E-01  1.446830E+01  6.002500E-01  1.631010E+01  8.988699E-02  7.000000E+00  1.204147E-01  5.747872E+01  6.533605E+00  1.641183E-01  
15    1.812140E-01  1.464810E+01  5.941570E-01  1.568990E+01  8.988699E-02  7.000000E+00  1.183694E-01  7.520388E+01  8.277401E+00  1.796747E-01  
16    2.094330E-01  1.439350E+01  6.030040E-01  1.638890E+01  8.988699E-02  5.634687E+00  7.378263E-02  8.000000E+01  7.591954E+00  1.641183E-01  
17    2.105770E-01  1.438310E+01  4.193590E-01  2.787940E+01  9.741173E-02  5.634687E+00  6.104245E-02  8.000000E+01  9.457453E+00  5.303784E-02  
18    2.252490E-01  1.424880E+01  4.230140E-01  2.232230E+01  6.062966E-02  5.634687E+00  6.104245E-02  8.000000E+01  9.137806E+00  4.530068E-02  
19    2.219670E-01  1.427890E+01  4.178300E-01  2.334410E+01  6.547016E-02  6.141076E+00  6.104245E-02  8.000000E+01  9.109774E+00  4.530068E-02  
20    1.649380E-01  1.479300E+01  2.808060E-01  2.905620E+01  6.062966E-02  4.035627E+00  5.425598E-02  7.984090E+01  9.137806E+00  2.750131E-02  
21    1.990640E-01  1.448760E+01  5.992190E-01  1.637320E+01  8.988699E-02  5.634687E+00  2.590934E-01  5.251520E+01  7.591954E+00  1.641183E-01  
22    1.986700E-01  1.449110E+01  6.235990E-01  6.920070E+00  5.000000E-02  3.963824E+00  1.204147E-01  7.669586E+01  7.167980E+00  1.648475E-01  
23    1.882970E-01  1.458460E+01  6.197580E-01  6.769510E+00  5.000000E-02  3.963824E+00  1.149071E-01  7.337929E+01  5.569457E+00  1.648475E-01  
