﻿Daily Discharge (m3/s) (PARAM = 1) ,,,,,,,,,,,,,,,,
 ID,PARAM,TYPE,YEAR,DD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
02GA016,1,1,2013,1,4.4,60,5.7,6.61,5.27,17.2,4.93,53.3,6.11,7.85,23.7,4.79
02GA016,1,1,2013,2,4.41,40.5,5.7,6.46,4.59,18.6,5.94,82.9,6.11,5.91,30.4,4.78
02GA016,1,1,2013,3,4.42,14.4,5.71,6.37,4.58,18.6,6.75,54.3,6.09,10.3,30.5,4.79
02GA016,1,1,2013,4,4.42,5.86,5.7,6.33,4.58,14.2,6.78,25.9,4.75,10.4,30.5,4.77
02GA016,1,1,2013,5,4.4,5.88,5.69,6.28,4.58,11.6,6.79,17.8,3.12,10.3,27.2,4.75
02GA016,1,1,2013,6,4.41,5.86,5.67,6.23,4.6,6.92,6.11,17.9,3.79,10.3,15.4,4.6
02GA016,1,1,2013,7,4.44,5.85,5.67,6.21,4.62,5.81,5.63,17.9,4.82,10.5,43.2,4.96
02GA016,1,1,2013,8,4.46,5.86,5.65,33.1,4.63,6.28,13.4,18,4.82,10.5,50.1,5.17
02GA016,1,1,2013,9,4.5,5.83,5.66,72.9,4.65,6.3,70.1,9.9,4.83,10.7,49.5,4.72
02GA016,1,1,2013,10,4.51,5.82,5.69,135,4.67,6.33,76.6,6.17,4.85,10.7,48.5,3.57
02GA016,1,1,2013,11,4.5,5.83,5.78,168,4.68,13.4,5.74,6.57,5.54,10.7,50,3.65
02GA016,1,1,2013,12,4.49,5.78,5.96,97.3,4.72,20.7,8.08,6.71,4.87,10.7,53.6,3.64
02GA016,1,1,2013,13,19.2,5.76,33.3,73.7,4.7,22.4,21.3,6.69,4.89,10.7,56,3.6
02GA016,1,1,2013,14,50,5.76,48.7,58.3,4.71,19.2,32.6,6.71,4.93,10.5,47.5,3.6
02GA016,1,1,2013,15,69.9,5.74,45.8,44.5,4.72,12,32.3,6.7,4.96,10.5,42,3.61
02GA016,1,1,2013,16,64.8,5.72,48.1,33.7,4.72,11.4,31,6.12,4.47,10.6,43.8,3.61
02GA016,1,1,2013,17,35.4,5.71,46.7,22.6,4.72,11.5,20.1,5.29,3.68,10.5,43.6,3.61
02GA016,1,1,2013,18,8.45,5.78,29.4,19.8,4.72,10.3,5.65,5.26,3.71,8.05,51,3.61
02GA016,1,1,2013,19,5.74,5.82,20,57.1,4.72,6.01,4.79,5.13,3.72,5.98,54.6,3.62
02GA016,1,1,2013,20,5.68,5.78,19.9,74.5,4.74,4.93,5.17,5.14,3.74,10.7,51.4,4.67
02GA016,1,1,2013,21,5.66,5.69,20.1,47.8,4.79,4.93,5.22,5.3,3.8,10.8,41.4,5.53
02GA016,1,1,2013,22,5.66,5.74,20.1,19.4,14,4.93,5.26,5.31,9.76,12,37.9,5.37
02GA016,1,1,2013,23,5.64,5.76,19.8,4.9,10.6,4.93,5.22,5.35,13.7,12.6,42.7,5.57
02GA016,1,1,2013,24,5.73,5.75,18,4.82,8.18,4.93,5.22,5.41,13.5,12.6,29.3,5.55
02GA016,1,1,2013,25,5.76,5.72,10.9,4.75,6.2,4.95,5.22,5.46,13.5,12.6,4.09,5.73
02GA016,1,1,2013,26,5.75,5.7,6.49,7.93,4.88,4.94,6.47,5.5,13.4,12.7,4.23,5.69
02GA016,1,1,2013,27,5.72,5.73,6.51,9.33,4.72,4.95,7.06,5.49,13.3,12.8,4.61,5.7
02GA016,1,1,2013,28,5.72,5.73,6.55,9.66,4.98,4.96,7.19,5.52,13.2,12.7,5.05,5.9
